"Invoice_Number","Line_Item_Number","Customer_Number","Invoice_Date","Transaction_Type","Product_Number","Product_Class","Quantity_Sold","Sale_Price","Sales_Tax","Total_Amount"
"18185","01","264629","01/04/2016","IN","052204525","05",34,12.01,28.58,436.92
"18185","02","264629","01/04/2016","IN","030934423","03",27,7.79,14.72,225.05
"18185","03","264629","01/04/2016","IN","030302303","03",26,54.95,100.01,1528.71
"18185","04","264629","01/04/2016","IN","090504761","09",16,12.98,14.54,222.22
"18185","05","264629","01/04/2016","IN","090010011","09",32,0.99,2.22,33.90
"18185","06","264629","01/04/2016","IN","010119040","01",37,13.99,36.23,553.86
"18185","07","264629","01/04/2016","IN","010155160","01",34,13.99,33.30,508.96
"18185","08","264629","01/04/2016","IN","052770015","05",8,0.40,0.22,3.42
"18185","09","264629","01/04/2016","IN","052720305","05",32,50.00,112.00,1712.00
"18185","10","264629","01/04/2016","IN","052504005","05",18,4.80,6.05,92.45
"18185","11","264629","01/04/2016","IN","052484405","05",25,5.69,9.96,152.21
"18185","12","264629","01/04/2016","IN","080938748","08",33,3.12,7.21,110.17
"18185","13","264629","01/04/2016","IN","080123968","08",37,3.02,7.82,119.56
"18185","14","264629","01/04/2016","IN","024128712","02",36,1.19,3.00,45.84
"18185","15","264629","01/04/2016","IN","024128932","02",37,3.85,9.97,152.42
"18185","16","264629","01/04/2016","IN","024108612","02",27,17.95,33.93,518.58
"18185","17","264629","01/04/2016","IN","060102086","06",22,44.89,69.13,1056.71
"18185","18","264629","01/04/2016","IN","060100316","06",19,8.98,11.94,182.56
"18181","01","836004","01/05/2016","IN","030412553","03",20,15.99,9.27,329.07
"18181","02","836004","01/05/2016","IN","090501551","09",23,2.99,1.99,70.76
"18181","03","836004","01/05/2016","IN","010226620","01",33,16.00,15.31,543.31
"18181","04","836004","01/05/2016","IN","010102710","01",34,7.99,7.88,279.54
"18181","05","836004","01/05/2016","IN","052204525","05",34,12.01,11.84,420.18
"18182","01","231494","01/05/2016","IN","052204525","05",34,12.01,25.52,433.86
"18182","02","231494","01/05/2016","IN","080106218","08",35,2.98,6.52,110.82
"18182","03","231494","01/05/2016","IN","080126008","08",22,2.78,3.82,64.98
"18183","01","419449","01/05/2016","IN","080126008","08",22,2.78,4.28,65.44
"18183","02","419449","01/05/2016","IN","080123938","08",30,5.99,12.58,192.28
"18183","03","419449","01/05/2016","IN","080935428","08",29,58.98,119.73,1830.15
"18183","04","419449","01/05/2016","IN","080435438","08",36,51.98,130.99,2002.27
"18183","05","419449","01/05/2016","IN","023903712","02",20,14.95,20.93,319.93
"18183","06","419449","01/05/2016","IN","070104397","07",17,9.99,11.89,181.72
"18183","07","419449","01/05/2016","IN","030934423","03",27,7.79,14.72,225.05
"18183","08","419449","01/05/2016","IN","030303343","03",33,12.98,29.98,458.32
"18183","09","419449","01/05/2016","IN","030309373","03",30,16.98,35.66,545.06
"18184","01","512328","01/05/2016","IN","030309373","03",30,16.98,35.66,545.06
"18184","02","512328","01/05/2016","IN","090584072","09",5,299.99,105.00,1604.95
"18184","03","512328","01/05/2016","IN","010631140","01",13,3.59,3.27,49.94
"18184","04","512328","01/05/2016","IN","010226620","01",33,16.00,36.96,564.96
"18184","05","512328","01/05/2016","IN","052204525","05",34,12.01,28.58,436.92
"18186","01","419449","01/05/2016","IN","052504005","05",36,4.80,12.10,184.90
"18186","02","419449","01/05/2016","IN","090501551","09",23,2.99,4.81,73.58
"18186","03","419449","01/05/2016","IN","010311800","01",8,54.99,30.79,470.71
"18186","04","419449","01/05/2016","IN","010803760","01",76,6.99,37.18,568.42
"18186","05","419449","01/05/2016","IN","080101018","08",22,0.50,0.77,11.77
"18186","06","419449","01/05/2016","IN","080126058","08",33,0.49,1.13,17.30
"18186","07","419449","01/05/2016","IN","080124518","08",36,3.12,7.86,120.18
"18186","08","419449","01/05/2016","IN","024104312","02",14,13.50,13.23,202.23
"18186","09","419449","01/05/2016","IN","024195262","02",28,6.98,13.68,209.12
"18186","10","419449","01/05/2016","IN","024140032","02",9,32.95,20.76,317.31
"18186","11","419449","01/05/2016","IN","080106218","08",35,2.98,7.30,111.60
"18186","12","419449","01/05/2016","IN","040240664","04",36,39.98,100.75,1540.03
"18186","13","419449","01/05/2016","IN","030412903","03",7,3.49,1.71,26.14
"18186","14","419449","01/05/2016","IN","030364163","03",37,69.98,181.25,2770.51
"18186","15","419449","01/05/2016","IN","010311990","01",29,3.99,8.10,123.81
"18186","16","419449","01/05/2016","IN","010119040","01",37,13.99,36.23,553.86
"18186","17","419449","01/05/2016","IN","010226620","01",33,16.00,36.96,564.96
